,key_0,With private health insurance,With public coverage,Unemployed,No health insurance coverage,No health insurance coverage,No health insurance coverage.1,No health insurance coverage.1,With health insurance coverage.1,No health insurance coverage,No health insurance coverage,X_insur,Counts
51,MN20,1012.0,262.0,1825.0,1625.0,940.0,329.0,66.0,1274.0,1625.0,940.0,9898.0,5712
52,MN21,1053.0,261.0,1752.0,885.0,225.0,384.0,49.0,1314.0,885.0,225.0,7033.0,5636
53,MN22,928.0,340.0,1682.0,3506.0,902.0,342.0,60.0,1239.0,3506.0,902.0,13407.0,5520
54,MN23,1729.0,183.0,2614.0,2054.0,925.0,451.0,119.0,1883.0,2054.0,925.0,12937.0,5478
55,MN24,900.0,338.0,1543.0,2125.0,568.0,338.0,184.0,1169.0,2125.0,568.0,9858.0,5170
56,MN25,1058.0,42.0,1325.0,1269.0,716.0,190.0,28.0,1086.0,1269.0,716.0,7699.0,5092
57,MN27,610.0,1098.0,2071.0,3886.0,1294.0,414.0,296.0,1578.0,3886.0,1294.0,16427.0,4779
58,MN28,864.0,1998.0,3837.0,4635.0,2039.0,939.0,339.0,2741.0,4635.0,2039.0,24066.0,4644
59,MN31,1113.0,297.0,2545.0,2285.0,980.0,829.0,359.0,1396.0,2285.0,980.0,13069.0,4604
60,MN32,1710.0,331.0,3412.0,3246.0,1074.0,1269.0,185.0,1938.0,3246.0,1074.0,17485.0,4398
61,MN33,585.0,1437.0,3311.0,4896.0,2379.0,1242.0,1061.0,1956.0,4896.0,2379.0,24142.0,4189
62,MN34,681.0,1679.0,3424.0,6037.0,2502.0,1224.0,647.0,2018.0,6037.0,2502.0,26751.0,4055
63,MN35,1559.0,2129.0,5734.0,6495.0,1376.0,2386.0,604.0,3172.0,6495.0,1376.0,31326.0,3692
64,MN36,1132.0,3144.0,7386.0,11387.0,3299.0,2713.0,1001.0,4090.0,11387.0,3299.0,48838.0,3654
65,MN40,912.0,227.0,1523.0,851.0,378.0,209.0,116.0,1106.0,851.0,378.0,6551.0,3506
66,QN01,571.0,1175.0,2860.0,3038.0,1128.0,963.0,630.0,1664.0,3038.0,1128.0,16195.0,3487
67,QN17,1588.0,626.0,3384.0,3923.0,2357.0,1071.0,715.0,2149.0,3923.0,2357.0,22093.0,3423
68,QN19,272.0,447.0,1079.0,2248.0,1483.0,346.0,237.0,710.0,2248.0,1483.0,10553.0,3140
69,QN20,778.0,724.0,2850.0,9568.0,4294.0,1280.0,1059.0,1489.0,9568.0,4294.0,35904.0,3061
70,QN22,832.0,1231.0,3552.0,10993.0,3541.0,1451.0,1389.0,1913.0,10993.0,3541.0,39436.0,3001
71,QN28,1404.0,1995.0,5808.0,17588.0,4669.0,2407.0,1336.0,3186.0,17588.0,4669.0,60650.0,2915
72,QN31,1213.0,719.0,2716.0,8680.0,2070.0,793.0,480.0,1813.0,8680.0,2070.0,29234.0,2843
73,QN33,355.0,181.0,722.0,1095.0,497.0,206.0,173.0,497.0,1095.0,497.0,5318.0,2779
74,QN34,1200.0,1218.0,3969.0,4377.0,1892.0,1344.0,581.0,2402.0,4377.0,1892.0,23252.0,2354
75,QN46,923.0,358.0,2225.0,2377.0,1351.0,790.0,424.0,1231.0,2377.0,1351.0,13407.0,2344
76,QN50,246.0,141.0,738.0,4498.0,1542.0,342.0,264.0,387.0,4498.0,1542.0,14198.0,2256
77,QN51,593.0,749.0,2371.0,6062.0,2567.0,937.0,692.0,1324.0,6062.0,2567.0,23924.0,2222
78,QN54,727.0,1204.0,3480.0,7329.0,2874.0,1339.0,601.0,1888.0,7329.0,2874.0,29645.0,2015
79,QN55,910.0,1455.0,4400.0,8505.0,4032.0,2036.0,1247.0,2253.0,8505.0,4032.0,37375.0,1913
80,QN60,422.0,371.0,1156.0,1568.0,770.0,344.0,207.0,778.0,1568.0,770.0,7954.0,1824
81,QN68,388.0,691.0,1388.0,1900.0,852.0,264.0,243.0,1048.0,1900.0,852.0,9526.0,1769
82,QN70,1516.0,1174.0,4360.0,9252.0,2189.0,1852.0,475.0,2437.0,9252.0,2189.0,34696.0,1762
83,QN76,519.0,824.0,2470.0,2368.0,827.0,989.0,505.0,1297.0,2368.0,827.0,12994.0,1710
84,SI05,537.0,324.0,1208.0,1143.0,694.0,293.0,290.0,837.0,1143.0,694.0,7163.0,1625
85,SI07,451.0,173.0,792.0,563.0,312.0,190.0,77.0,581.0,563.0,312.0,4014.0,1495
86,SI22,368.0,664.0,1438.0,1737.0,1010.0,352.0,278.0,996.0,1737.0,1010.0,9590.0,1491
87,SI25,449.0,118.0,806.0,551.0,271.0,196.0,215.0,553.0,551.0,271.0,3981.0,847
88,SI36,516.0,228.0,940.0,1256.0,608.0,145.0,205.0,718.0,1256.0,608.0,6480.0,807
89,SI48,735.0,97.0,1075.0,607.0,346.0,172.0,81.0,822.0,607.0,346.0,4888.0,795
90,SI54,897.0,329.0,1461.0,860.0,526.0,220.0,206.0,1158.0,860.0,526.0,7043.0,399
